Driver,Year
Luke Browning,2023
Oleksandr Bondarev,2023
Alessandro Giusti,2024
Sara Matsui,2024
Dean Hoogendoorn,2024
Lucas Palacio,2024
Will Green,2025
Victor Martins,2025
Jade Jacquet,2026
Oliver Rowland,2018
Jamie Chadwick,2019
Jamie Chadwick,2020
Jamie Chadwick,2021
Jamie Chadwick,2022
Jamie Chadwick,2023
Dan Ticktum,2020
Dan Ticktum,2021
Roy Nissany,2020
Roy Nissany,2021
Roy Nissany,2022
Oliver Gray,2022
Oliver Gray,2023
Zak O'Sullivan,2022
Zak O'Sullivan,2023
Zak O'Sullivan,2024
Lia Block,2024
Lia Block,2025
Lance Stroll,2016
Nicholas Latifi,2019
Jack Aitken,2020
Jack Aitken,2021
Logan Sargeant,2021
Logan Sargeant,2022
Franco Colapinto,2023
Franco Colapinto,2024
