Driver,Year
Kenzo Craigie,2023
Kenzo Craigie,2024
Kenzo Craigie,2025
Luna Fluxá,2022
Luna Fluxá,2023
Luna Fluxá,2024
Luna Fluxá,2025
James Anagnostiadis,2024
James Anagnostiadis,2025
Doriane Pin,2024
Doriane Pin,2025
Rashid Al Dhaheri,2025
Andy Consani,2025
Ethan Jeff-Hall,2025
Many Nuvolini,2025
Paul Aron,2019
Paul Aron,2020
Paul Aron,2021
Paul Aron,2022
Paul Aron,2023
Alex Powell,2019
Alex Powell,2020
Alex Powell,2021
Alex Powell,2022
Alex Powell,2023
Alex Powell,2024
Alex Powell,2025
Frederik Vesti,2021
Frederik Vesti,2022
Frederik Vesti,2023
Frederik Vesti,2024
Yuanpu Cui,2021
Yuanpu Cui,2022
Yuanpu Cui,2023
Yuanpu Cui,2024
Yuanpu Cui,2025
Daniel Guinchard,2022
Julia Montlaur,2025
Noah Strømsted,2025
Pascal Wehrlein,2014
Pascal Wehrlein,2015
Pascal Wehrlein,2016
Pascal Wehrlein,2017
Pascal Wehrlein,2018
Esteban Ocon,2015
Esteban Ocon,2016
Esteban Ocon,2017
Esteban Ocon,2018
Esteban Ocon,2019
George Russell,2017
George Russell,2018
George Russell,2019
George Russell,2020
George Russell,2021
Andrea Kimi Antonelli,2018
Andrea Kimi Antonelli,2019
Andrea Kimi Antonelli,2020
Andrea Kimi Antonelli,2021
Andrea Kimi Antonelli,2022
Andrea Kimi Antonelli,2023
Andrea Kimi Antonelli,2024
